repeat,client,auc
022,PRJNA731589,0.9871323529411765
023,centralized,0.9621754385964912
023,federated (aggregate),0.9473684210526316
023,PRJEB10878,0.9345238095238095
023,PRJEB6070,0.8973333333333333
023,PRJEB7774,0.888671875
023,PRJNA429097,1.0
023,PRJNA731589,0.990079365079365
024,centralized,0.9522676371780515
024,federated (aggregate),0.8716405375139977
024,PRJEB10878,0.8571428571428571
024,PRJEB6070,0.7243107769423559
024,PRJEB7774,0.777327935222672
024,PRJNA429097,0.9972826086956521
024,PRJNA731589,0.9209558823529411
025,centralized,0.9616080122409236
025,federated (aggregate),0.9045764362220059
025,PRJEB10878,0.8968750000000001
025,PRJEB6070,0.7526041666666667
025,PRJEB7774,0.7773279352226721
025,PRJNA429097,0.9946524064171123
025,PRJNA731589,0.9907407407407407
026,centralized,0.9737811791383221
026,federated (aggregate),0.8384353741496599
026,PRJEB10878,0.9875
026,PRJEB6070,0.5831202046035806
026,PRJEB7774,0.58984375
026,PRJNA429097,0.9985207100591716
026,PRJNA731589,0.9653846153846153
027,centralized,0.9503880266075388
027,federated (aggregate),0.9290465631929046
027,PRJEB10878,1.0
027,PRJEB6070,0.7424242424242424
027,PRJEB7774,0.8463203463203463
027,PRJNA429097,0.9986631016042781
027,PRJNA731589,0.9484126984126984
028,centralized,0.9668469968095437
028,federated (aggregate),0.8877098071854626
028,PRJEB10878,0.8
028,PRJEB6070,0.7425
028,PRJEB7774,0.761904761904762
028,PRJNA429097,0.9891304347826086
028,PRJNA731589,0.9920634920634921
029,centralized,0.9512415036759605
029,federated (aggregate),0.9010264946594535
029,PRJEB10878,0.9822485207100591
029,PRJEB6070,0.6591478696741855
029,PRJEB7774,0.7327935222672065
029,PRJNA429097,1.0
029,PRJNA731589,0.9923076923076923
