	0	1	2	3	4	5	6	7	8	9
ERS848692	2.1117819193052623	-1.1885773757800902	3.200808069707343	-5.908577805173769	2.5781356333821916	-2.7764916773754797	2.2410368206572424	0.1597283171079062	-0.5242921715769219	0.6159602671020595
ERS848678	2.9416668076148067	0.9252325556240634	2.291214775047066	-4.617836776933202	3.3753720821746773	-1.81456406942219	3.0181440633934584	-1.1030111892613848	-1.565753937652047	0.07267110545879911
ERS848640	14.466499808849193	6.312850913609047	1.9825195163646643	2.5799798457802474	4.868143819123187	-0.03922378519111269	-1.7545018241867307	-6.89275019484773	-2.1508170489108664	-2.06180075332841
ERS848703	2.531276921134934	11.049767975673728	-4.886309618181052	-12.722982894118854	-12.874817589860834	13.185057398382245	3.2088559046113008	6.08961912499586	-0.2448163120715767	1.0354021567975846
ERS848729	1.6683192677062475	-1.6471834651270632	3.006674675070857	-6.052838665396466	3.0676906677064957	-2.9250981605956907	2.1329235411123713	0.49530636056493516	0.6756427944254308	0.6748720692054303
ERS848670	-25.002785336918993	16.56912399712708	3.8109408018213506	-8.151182418774415	-4.719114338394926	11.714233688698362	-5.868061511898913	-0.6595475880014483	10.869006054430027	0.24475988719201897
ERS848671	-3.09640235453473	13.542387166907952	-3.5346829198955767	-10.889789682941856	-11.388494480143349	11.677185573520598	0.8207936916157583	1.4452530045625325	1.1075930966972007	1.549557330597081
ERS848672	6.523336926196779	4.419828513903132	2.599829567647529	-0.5286671453010177	3.495438576810375	-0.4280985786409538	1.4239512721811776	-3.5639704216557844	-2.1496961634698906	-3.1547746402627133
ERS848712	-25.32440625597485	16.302069545469607	4.440979870849613	-8.204444780843783	-4.64362988815214	10.619365267511883	-5.676204543410801	-0.44096632327499125	11.202622169750628	0.7433779256677826
ERS848669	1.7856329876049617	10.70289551974658	-4.631767110387915	-13.257314692649707	-10.657877760136529	12.734022253021724	2.6411517464098466	6.019895008333186	-0.04279101021768314	1.0347017956094868
ERS848745	10.94695619067903	7.048708493155992	2.7611747895171312	3.5341370632929485	2.0523698737464535	-3.0520709587874904	1.0349408403967946	-9.589831096176612	-4.291441846786776	-2.9863407417190606
ERS848733	11.068854360414555	6.975044162429532	-7.485889986161872	-7.493470844448284	-6.407874492179676	7.236696877413636	3.0414243363938347	0.7594791264278107	2.713259636265786	10.751860331586135
ERS848657	-9.514122418704265	16.29456252396479	-0.4409448071500261	-11.725496161870906	-10.956952346015902	12.852214455071342	-2.769757888222215	-0.41748924494192025	4.802244335233679	0.7488558964587495
ERS848661	1.3070549054030554	-1.8783956437666998	1.6315239180748307	-1.9966819000266378	2.5921036480958186	-2.39844635206838	2.1669425247757865	-1.3190041401015464	-1.9634343453434004	-0.1572487367794763
ERS848668	5.326221950903675	3.164670304573049	2.9610340432008755	-2.6153552212540703	3.245535332116568	-0.5888929472540374	2.298729068304923	-2.9701827248335317	-2.026895642612643	-1.3488749496877557
ERS848660	7.797010697855576	3.8058990293977506	4.5080213471466895	0.25134192352185347	4.677754473558763	-0.5267545141413786	2.1475659867718355	-2.681932631970844	-3.223452614343975	-3.4642271491680177
ERS848627	2.899951138455037	3.8280546119725014	1.7734166176118957	-4.243199667552147	2.836732889264932	-3.1488594347031422	3.272925359662531	-2.6255804849968407	-1.9386488592054745	0.5006583858415395
ERS848620	-0.5142848406846241	-5.337943973926914	1.907895096688816	-2.1774259623613768	0.4573768307326469	-3.9760909726939335	2.3235450903696617	-0.6824609562181451	-0.6843494022581724	1.6362971622680647
ERS848644	-0.5243002271494472	-4.903198632079656	0.6138497294320245	-2.0675819130186124	3.628041138626487	-4.248226120880883	2.4384152885970525	1.3597784639459942	-0.9838517369321147	0.6713368835013969
ERS848739	8.60236301574071	10.236540135623777	-7.966913725937319	-9.244745705295253	-10.805615599086625	9.374219400697937	3.401456921635645	3.772126539958035	-1.44067841718109	7.12115430459906
ERS848708	3.566954732428497	1.7277250720381132	2.5726324040382536	-3.573254041100781	3.3631109994492543	-1.6294769792016908	2.88326440747957	-1.990483174761609	-1.7999944076171226	-1.7706454208992175
ERS848625	-16.370410085247606	15.39595155603299	1.6514387734281657	-10.895758174195151	-7.353353323431986	13.653997500554318	-5.2059141851279485	0.38431513286418606	8.366440965039036	-0.158772154915925
ERS848723	2.5503369019370132	0.3283044241315973	2.6011456959570998	-5.222849527915444	4.005805809056269	-2.9004209331529283	2.8656425183767733	-0.18029972261942212	-1.806685132223107	-0.23262510352604238
ERS848651	15.806247192028993	4.100384387280409	-0.2836384059757349	0.771401751398212	3.700364001661628	1.3831949378203616	-3.8506986950479325	-7.50209412091377	0.4573790696461359	3.175247194662777
ERS848626	16.788107002131543	4.696792513613941	-5.102545310315662	0.8083431075429746	1.6744390025836369	2.7955150513663924	-2.162018196429054	-3.139018524085961	6.093483836496999	10.661857073910404
ERS848680	1.3789056987519808	-0.30765690150774117	2.6970559057077685	-4.507130839697965	2.962133874978929	-1.8501049305643105	2.4724155742706277	0.11758410869924274	-1.904755042464717	-0.006553692580442157
ERS848656	0.13078275101053025	-4.825069587432753	2.3564152740837474	-3.296265813627246	3.4277794371976453	-3.5952361933733528	2.6971716995610158	1.52698403472889	-0.5507500829800952	0.48868478280239275
ERS848698	1.304368603557023	-2.302749416673283	2.5244135013608986	-3.9592018894986474	3.088048504145305	-1.997411600268935	1.784449116169389	0.5238716578144981	-0.7600631561540434	-0.6128224949468891
ERS848683	15.211420015632529	8.29823488471603	-7.060666760081412	-1.7441831167459796	-2.121391708494891	3.787183355833251	-0.059904400487533885	-4.070929006007449	6.3703509956050315	13.70062758028748
ERS848682	2.1954798893887673	-1.2765094758357063	2.917245592096318	-5.6086692835258845	3.646543096755238	-2.625637642087265	2.0998905092722144	0.1277237081751681	-0.674430496430724	-0.4280313897207415
ERS848628	-18.238281965435323	14.541483184440754	2.7504269905281573	-10.042306961829246	-6.3717158222292065	14.625408926938086	-4.765882506168614	0.7887098170925089	9.741536444512079	0.11994552828082594
ERS848684	5.884522652877768	6.993317478092239	2.1151883698318863	-1.4042265445384325	3.044383857356311	-1.5693350738120124	3.36086032437327	-4.751454708207454	-2.4925173789485724	-1.27054035864159
ERS848699	1.0059586027699348	-3.3130027128267474	1.4079166461636	-2.232301396689529	3.885552942859238	-1.148563804937478	2.133381511770746	0.974657801527197	-1.4395145204925786	-1.614820807625152
ERS848722	14.935367580951478	6.800391380122724	-7.182614750141843	-5.386082025114671	-4.039933692142318	4.512558597585432	2.159529921941894	-2.6394356779421644	4.320060262023978	13.037229981197617
ERS848725	0.27705501780837904	11.297701591945037	-3.920579315948803	-10.556440579476497	-11.730441089291325	12.66840016250575	2.1154056730874258	5.099536597402594	-1.2145047995606277	0.4710405590342718
ERS848647	7.685392507268334	9.47833035649863	-9.780732066299564	-8.169595385723866	-9.507944909895285	10.87378528275239	3.7798016221239235	5.042992545639942	-1.475312351643547	4.002890349732712
ERS848663	0.20395396277304859	-4.7898066384754765	1.9810105044978115	-2.716604301966504	2.6138457175729775	-2.1823814539017867	1.560630779667646	0.8064904867478403	-0.9816175391269134	0.1695877418665786
ERS848738	2.0892453591537365	-0.5340955872121398	2.629374322146223	-4.57463604429482	2.5413713647343217	-3.7449020749874364	2.1673634426960304	-1.1147311841870375	-2.0443493153018992	0.6517947316525351
ERS848700	-0.7472407518233526	-6.04649448641441	3.0508692761428597	-4.195598839953372	2.6769327096504805	-4.184975185306745	1.4682679954724882	2.203055823912815	0.5657166683744261	0.9258846476210683
ERS848630	2.085313854232006	-1.5240039427964978	2.6150021937459917	-4.79718797883655	3.2031789243663544	-1.8725199919074795	2.8421487554415554	-0.5286348865168229	-1.1025277126362105	-0.18373978806373067
ERS848705	1.010710241421021	-4.347357028140048	1.6273272319504881	-3.02578357349005	3.917193568179524	-1.5822632843803057	1.9286791119355362	1.3171314444544147	-1.0404787064030738	-0.646563668555324
ERS848646	5.219074631884396	7.110928135070091	3.0296614957576695	1.0579908132608256	1.089411453262827	-4.3816143811187	4.081782406029252	-7.283790724252068	-4.40163878943542	0.13983619701043554
ERS848707	3.2455043498449125	0.4301799335538483	2.8464444336213384	-6.172127538691356	3.878678832786838	-2.32854688209124	1.5474978553731968	-0.644780222661199	-1.3669466685684706	-0.18366752296605035
ERS848621	2.775039182551225	3.7852299796864783	1.5256673982508864	-3.1608603169820375	1.5430542727577468	-2.788118303954142	2.9290466388189995	-3.143522039092199	-1.865087057992807	0.5270105983211708
ERS848649	4.299865513294702	4.190571664220057	1.8275982363999888	-0.645223234473203	2.5329526447072093	-1.2788994588895752	2.8624320189256145	-2.982400416524981	-2.429416127476846	-1.8059843544096106
ERS848695	1.9042346027888735	-0.46984308171344874	2.8914524736900207	-5.176464097651676	1.98990876897521	-3.3969062071036498	3.2577434376339003	-0.7725365127293972	-1.368695528976611	1.6948062432998119
ERS848673	3.2082238865365507	1.1087709882300687	2.977861806866917	-4.333735743972974	2.9577093765941003	-1.4085351221475246	2.632465538516664	-1.8652781594966812	-1.5371980193498096	-0.2931814081773978
ERS848676	-23.144268725364096	16.295442587729333	3.86442868440893	-8.967906123936439	-5.743411021306797	12.610404897324555	-5.903852006612286	-0.4665083661835513	10.706086201938389	-0.2610121200050251
ERS848667	-7.340563522239549	14.431192945865732	-0.15172976848149772	-11.464347781641003	-12.133626038545934	11.051273127498533	-0.7573429729255041	-0.019118162993758313	3.88883085711796	1.6462968508738136
ERS848737	14.843169466136434	9.516919114894636	-6.541431125170446	-3.0236607221605123	-2.2818017545708638	1.2292640294374202	-1.3724453783547685	-5.148138321354684	5.690145694731752	14.706004872694363
ERS848690	1.3515854888489158	-1.4087136172816457	1.4809819584016692	-3.0984389277109807	2.7047113732390935	-3.698761279166429	3.037650247943845	-0.1322098786422497	-1.1203972740776547	0.3921206809061493
ERS848637	-23.645308218453494	15.398122802179468	4.861793007886868	-9.20767918583347	-5.005463769756339	12.953840441633332	-5.440190696610372	0.6835609037378885	11.617006826155759	-0.2777833179308693
ERS848710	3.589845753179075	4.603835326581217	2.5957992578719393	-4.247539101289517	2.314406410270701	-3.2465272818954936	2.9535123633696654	-2.8492762399807026	-2.042996565665729	1.215761995526543
ERS848715	2.881657241231248	2.8052617774928894	2.553697105530939	-4.4356005907889795	2.161392441314616	-3.4576276577480285	3.3940780192376434	-3.052386819575306	-2.0177271363591975	0.7797935703088427
ERS848718	0.699402467343246	-1.8736972827064813	1.5062833134172688	-3.8554889182974184	4.451214534050009	-2.7363381385719507	2.2780783220750793	0.7237467629118377	-1.5589882423148302	0.05478511830064725
ERS848724	2.565237495795593	1.6844404850914407	2.192556208763376	-3.2668897837936717	2.6678014651974418	-1.8327161906269727	3.4295401651554145	-1.6059942116947565	-1.9578779643956363	0.2224567042766433
ERS848717	4.109166054316294	3.603602659904393	1.979995744303172	0.6078292678445137	2.2590907435664755	-2.4066141415061875	3.6198137349896364	-3.992267900583093	-2.090113384664267	-1.511929401483619
ERS848691	-8.205298512243832	14.969538624536732	-0.5725999530696056	-10.787439507888294	-9.764975595490553	14.4741239425066	-2.163278682303034	2.7519436980934393	4.382425762133732	0.49440084874279866
ERS848688	1.0880946570060983	-3.453984653513374	2.6227506471975617	-3.440553397878695	2.945608166272741	-2.0275145158877645	2.325881733082029	0.31449574346923237	-1.884914774043165	0.23750616218983656
ERS848645	-0.2996117882025317	-6.221802487453338	1.2843319286286772	-0.8922032863289959	2.293167152216149	-2.263697671987035	1.1896829304836738	1.3351044071249025	-1.2335729129538051	0.21689421501004802
ERS848711	-3.6545597825770426	12.77504667136269	-2.533522913937677	-11.016393673955992	-9.262879897812935	12.960803618290885	-0.01633857943923514	3.0991088915226785	1.6255213649090257	0.2069419414535213
ERS848714	-0.12353134487278994	-5.963511653007895	3.060164787282074	-3.881889762123998	1.6778775562835997	-3.672003587283736	1.5006412586909623	0.7430487311339313	-0.4504695224062242	1.025448238642884
ERS848650	13.441312965631381	7.484447030063237	2.9244726645549095	1.8203778769415329	2.9467972195649557	-0.44297531064652595	0.028053972919226094	-8.90246494377243	-3.4586515821026644	-1.3689750736264512
ERS848666	10.792193074969394	8.430653604321702	2.728553795049636	1.8172280240496925	2.057473371695272	-1.5764581250574465	-0.1119866786204925	-7.554615137883014	-2.795117456044811	-1.0987131801811707
ERS848719	11.601735116248323	5.97930320989184	3.702900972153673	1.6516213754596007	4.743834056423266	-1.1341774614420237	0.7188707845096516	-6.48553745176706	-3.4570570536593457	-3.9803177598491986
ERS848713	15.477884523571126	7.344108983219693	-6.290573699131895	-0.7984834045064808	-0.30551095154748603	1.3275499444488765	-1.3581927766893607	-6.568407987119481	5.63599393802114	12.959899605371156
ERS848741	0.1539898235177086	-4.078458764026288	2.9226021943985034	-4.936522987152981	2.234876268764177	-3.274173674417498	1.613656252967718	0.6795602751935537	0.03571919613778338	1.1669883097974552
ERS848652	14.613813122229615	9.413722556295621	-6.527968067357765	-4.091997634519751	-3.1286516924719883	2.533016512931372	1.0884809094337262	-4.5777352340416435	4.798096429811809	14.746562102568292
ERS848730	11.338699865174638	3.6475526471551776	3.730224391422972	2.8958441523989866	5.350554335167051	-0.10422308862010683	0.24934336628434325	-6.154943999746524	-3.5755502628472255	-5.342122209515475
ERS848635	14.815124314778672	4.958653784342235	-5.395839143893065	-3.6616530654135317	-1.0625731068196471	4.204070541290134	-0.9977883960321021	-3.0485842758307613	5.96403531257053	12.788468406923116
ERS848735	-6.334202603479725	14.590805763925534	-1.0836113424612464	-12.66490968154346	-9.777594031407682	14.31593100485992	-1.2368710980839774	1.5643809954655077	1.7338189859326194	1.5822040109894373
ERS848643	-8.065674859825872	14.278047800306386	-0.8084268324993028	-11.43058427702638	-9.5974355127591	14.153685539679813	-2.140488596863274	1.4418236589166658	3.170953050640028	0.26892334295734427
ERS848654	-1.3405637334023888	-4.941521533429971	-0.36481695218233745	0.9742429022392027	3.0856301267087156	-2.7622996971576024	2.51610273049738	0.621498575695154	-1.5698911703046858	-0.04155930020041296
ERS848633	1.1441809006356598	0.04133400859360936	1.6798774339360936	-2.608344615690611	1.1927363385232317	-4.298194648910661	3.188955837349858	-3.1306201408386953	-2.765113960633476	1.7309143482969804
ERS848697	13.098062560925042	8.687360411610516	-8.908439319690967	-6.1800533572738185	-7.037608011446289	4.101437185070866	3.051444588669765	-0.35869642447992034	4.139959582065033	12.881504416657911
ERS848677	3.407011074579305	2.8264199642362837	1.8165356036907416	-2.289042891667302	3.0796817774487137	-1.3839889325706436	2.01578605811204	-2.4694859832630174	-1.72903297114398	-1.079362672607717
ERS848653	1.8949940277969486	-2.123602139721008	3.254300691654668	-5.305714639978921	3.5244948558525726	-2.616214129784502	2.3188557178596514	1.0489954749032118	-0.5296400263594119	0.31312005684942223
ERS848687	-0.3506400399261675	-5.364165869962462	0.7628378450098584	-1.2787971124506918	3.165684850523216	-3.7921313552472653	2.2670226706589665	1.005612082233466	-1.3713524552886796	0.2733946637925153
ERS848686	-0.5790467444940197	-4.05291959881104	2.499606958327102	-3.852534245411129	1.6725940728370876	-2.9266513938469596	1.4214681913589333	1.038262977967383	-0.7557025638044146	1.5057790905065191
ERS848696	7.551750305070363	11.431041329099173	-9.560983566914883	-11.76752147044013	-15.37474764122793	10.773162894410973	7.472164006904874	7.012515317645178	-5.404196793423586	0.09656305527917527
ERS848629	-0.335689360808547	-6.124305832356369	2.5593005695537188	-3.7613272778401874	2.7800946689186845	-4.177919975555893	1.3285348753714776	1.614999952814549	0.6025144074194181	0.3231611790635036
ERS848689	2.026472217079481	-0.5073686347143881	2.6420914164277813	-3.361008194508228	2.425107257858952	-2.6197246418557416	3.3431000757670146	-0.9222703770471319	-1.5776262740141809	-0.02560773014853477
ERS848631	1.5133631027071315	1.998439809849438	1.28029778682466	-3.391393501824323	1.6620821358234026	-5.268571809965092	2.838820585886455	-2.1553641432693036	-2.4471520987809114	1.9199517829904782
ERS848634	5.031169261369959	9.89307241208663	-8.187388678536646	-12.192872796320493	-12.661978417326239	12.637388292915388	5.567723821505322	7.06991919487372	-3.8257365793970632	0.5504837718682677
ERS848716	15.003763531949945	7.3484269919784895	-4.079338151216488	2.0688239274567404	0.6840998391001871	-0.8877706525630424	-1.4624898712805057	-9.86294444528238	1.9258347784815166	9.722460095662758
ERS848665	-0.16754811690390842	-6.437632633656744	3.492811936582146	-3.584526093918495	2.3736665418474505	-3.225559753148171	1.4680121108447686	2.208462770505519	-0.15885032360493662	0.9074843090280313
ERS848648	1.2221626977246856	-1.211004643286085	2.124608126095237	-4.11444181940968	0.5019367876589708	-3.0103449316187194	2.259191898219898	-1.397582397108314	-0.4492070863785157	2.030717425059712
ERS848674	-17.158764192170537	16.627581334304114	2.6782613351003706	-11.587622260275857	-6.577768650486964	13.434259448437357	-5.648997484432019	0.8222504802575578	8.69094617890918	-0.5812055328077717
ERS848685	11.93124436342063	7.355855208855502	-8.459188260705494	-7.364549633536935	-7.550372395732968	8.160122582547094	3.021850366864793	1.53254172523706	2.8530472730336003	10.395894320699684
