sample,0,1,2,3,4,5,6,7,8,9,client
ERS848692,2.111591587772065,-1.1890639456484977,3.2016782052907264,-5.910914894337761,-2.5783703876101938,2.773365301571584,2.2408334310766698,0.1578469326011165,0.5214272206220691,-0.6128995712236724,PRJEB10878
ERS848678,2.94168845628298,0.924765406515622,2.2919043371896715,-4.619563310308586,-3.3751819746636547,1.810836280530036,3.0181817899332426,-1.1027995968747024,1.5652608520153592,-0.0742404004814297,PRJEB10878
ERS848640,14.46668762161092,6.31222288720494,1.9832238129444748,2.5814622480290463,-4.869422200604484,0.0340221843507737,-1.761576425937806,-6.883897789663264,2.174370714693562,2.07488704122755,PRJEB10878
ERS848703,2.5320512005463804,11.050172227273054,-4.885826421733933,-12.71908178877508,12.885392398243791,-13.1796647298843,3.210043932118923,6.085241495286489,0.2152111256270812,-1.0371479040774123,PRJEB10878
ERS848729,1.6681285611738152,-1.647568022986703,3.0075218009233504,-6.055302412949485,-3.06828205411664,2.9213642819988426,2.132210553797293,0.4907618691641905,-0.6783584168760279,-0.6677698017503941,PRJEB10878
ERS848670,-25.00188078795908,16.57052089791611,3.8116207443086663,-8.145882767122924,4.721178565483996,-11.708567481493136,-5.879150959811489,-0.6812231035720082,-10.86731943010727,-0.2462642271597278,PRJEB10878
ERS848671,-3.0955260919271224,13.542850007211744,-3.5340160142518955,-10.885008896814997,11.396351202953149,-11.67115179105016,0.8167873195378781,1.43911140719097,-1.1224798726409626,-1.555566049594347,PRJEB10878
ERS848672,6.523600873131721,4.419586926397156,2.5999477641050355,-0.5282727482871762,-3.494358601047894,0.4218950583583821,1.4230147487816152,-3.5571016559278696,2.163044192729692,3.1589826785388526,PRJEB10878
ERS848712,-25.323530478010674,16.30346009568317,4.44173270718321,-8.199266579593917,4.645436329177344,-10.613141398552074,-5.6877411253911605,-0.4658604079922669,-11.201335468659163,-0.743693183252164,PRJEB10878
ERS848669,1.7864078238342096,10.703094440812164,-4.631202023838503,-13.253730816670656,10.667854673234288,-12.730002279671474,2.6426436880509785,6.015618071635256,0.0145019789191814,-1.0369291845267534,PRJEB10878
ERS848745,10.94732222536984,7.048376336436512,2.7616550638473063,3.5354094795808897,-2.0526521837511496,3.0479532168335908,1.0282562067696568,-9.579338932343813,4.323556991821685,2.9945830988363538,PRJEB10878
ERS848733,11.06935581961976,6.974293369936055,-7.485503655670844,-7.490834541399666,6.411601855805879,-7.23206412126321,3.0352435415643058,0.7510525860631851,-2.7403606541964334,-10.739602093751776,PRJEB10878
ERS848657,-9.513132650847226,16.29526060402875,-0.4399431687035046,-11.719508404021315,10.96382297379954,-12.845497436868666,-2.7783542909907726,-0.4306276398075678,-4.806329324044122,-0.7526083946561113,PRJEB10878
ERS848661,1.3069053024731407,-1.8788408203025555,1.6318716099695154,-1.9976504755313456,-2.592462223364514,2.3954074621163244,2.1672753121704744,-1.3170853976780728,1.9650579788314568,0.1550388538184779,PRJEB10878
ERS848668,5.3264395155740685,3.1645372267216625,2.961311172054204,-2.6157869070190447,-3.2441389995016654,0.5833874528087553,2.297873747108346,-2.9667276599303776,2.035248719991379,1.352720117194817,PRJEB10878
ERS848660,7.79729826033771,3.80549246831272,4.5080895130799945,0.2510307019410465,-4.675815897030127,0.519514807699032,2.1498999849924685,-2.672687611997916,3.235775161231226,3.4679526916076773,PRJEB10878
ERS848627,2.9001990169969267,3.8276630783170233,1.7742390904950056,-4.244913148991249,-2.836938749355412,3.145263742800682,3.271577893138896,-2.625561528681533,1.9428172694743568,-0.5005154206038428,PRJEB10878
ERS848620,-0.5147462610349112,-5.338287490485273,1.9081732566127765,-2.1793617597653614,-0.4586341364547999,3.9763916531802206,2.322569254325135,-0.6842125448589849,0.6830403105702242,-1.634796376699333,PRJEB10878
ERS848644,-0.5247363802602981,-4.903736368360798,0.6140643342109564,-2.069804947802296,-3.629844768914346,4.246475971861131,2.440057880126528,1.3594724538299805,0.9778262683989424,-0.6722768273950596,PRJEB10878
ERS848739,8.603112553866206,10.236236995460608,-7.966524309525954,-9.24119984168447,10.81331858226859,-9.36912874920643,3.401658591074726,3.772992096497157,1.408504886811302,-7.117793538467645,PRJEB10878
ERS848708,3.567078834225995,1.7274977156540583,2.573173016115111,-3.57430543343528,-3.362302468772312,1.6238098747920795,2.883114557503495,-1.9895052220842155,1.805677609759063,1.7726124285804707,PRJEB10878
ERS848625,-16.36954316666981,15.3968810998742,1.6523112836194471,-10.890274062686322,7.358226354160469,-13.649268693480913,-5.215110553805157,0.3674454553401196,-8.36890052321809,0.158820562272351,PRJEB10878
ERS848723,2.550336788690466,0.3278880306640547,2.601980794570405,-5.225334010076534,-4.006056630174065,2.895799466691437,2.867057553784071,-0.1798003951671463,1.8053625827473967,0.2321458193315372,PRJEB10878
ERS848651,15.80640385244626,4.099743995850859,-0.2829306673428274,0.7734253365147883,-3.703570062784671,-1.385786658689445,-3.861910576175129,-7.498412860424286,-0.4412940342675396,-3.1594264942281964,PRJEB10878
ERS848626,16.788455942551398,4.695506356819792,-5.102068059054879,0.8091525011086131,-1.679502463873109,-2.791426389280511,-2.1722126217582107,-3.1485430560387178,-6.103162117035733,-10.645799644214314,PRJEB10878
ERS848680,1.3788323331789194,-0.3079733755893764,2.6976511353125057,-4.50863219833894,-2.961671933197841,1.8462340736701048,2.4738626692007983,0.1187185023916811,1.9021178752111576,0.0063549942209215,PRJEB10878
ERS848656,0.1303409041289974,-4.825784574169059,2.3567108668942702,-3.298554258692127,-3.428934368263316,3.593548333038659,2.6987911427941853,1.5257074708600835,0.5441705398211549,-0.4902120321508776,PRJEB10878
ERS848698,1.3041481491565,-2.303190910006637,2.524793113130352,-3.9608185645194736,-3.0881260934451213,1.993579160448154,1.785592079059453,0.5243023597781338,0.7581386116251295,0.6135418970251221,PRJEB10878
ERS848683,15.21200957504544,8.297163988907819,-7.0598911747290245,-1.7429717330936314,2.117871912912323,-3.779932806348376,-0.0729720533023769,-4.084566291644017,-6.384663811665919,-13.682355889651326,PRJEB10878
ERS848682,2.1953739410151214,-1.2769652072142654,2.9180082280643425,-5.6108842895218425,-3.646569979696837,2.621146796794933,2.10047184413302,0.1261385086823905,0.6739710635236882,0.4300950823343739,PRJEB10878
ERS848628,-18.237450645740942,14.54240474556242,2.7511901370279928,-10.03659056293088,6.37646387068341,-14.619886973786468,-4.775302840098708,0.7682410652998024,-9.746787481231252,-0.1213091450719163,PRJEB10878
ERS848684,5.884957017537058,6.993232542737062,2.1155912139203283,-1.4046168556835348,-3.0431754557905624,1.5642593851488718,3.3583817227439043,-4.747867565520061,2.5048249535346514,1.2745181579137257,PRJEB10878
ERS848699,1.0057283638902736,-3.313334620007009,1.4081097204175337,-2.233665182854236,-3.885293655854365,1.144875793007281,2.1364398714629425,0.976416546081967,1.4370827295694029,1.6118418554285727,PRJEB10878
ERS848722,14.935911915093184,6.799387453073465,-7.18204946889744,-5.38448328534015,4.040119851389715,-4.506216708251147,2.149182216261494,-2.6505203481680293,-4.338616701697699,-13.024266133395315,PRJEB10878
ERS848725,0.2778529026590541,11.298162762096291,-3.9202764805539023,-10.551846683318225,11.74025781365414,-12.663563593228725,2.1173330157468144,5.098211641863996,1.1892825145838295,-0.4788632623240147,PRJEB10878
ERS848647,7.686122037152206,9.47816187079617,-9.780686741331978,-8.165983148846475,9.516811692831848,-10.870055921697093,3.782403131505491,5.04416476688391,1.4435598977042754,-4.003025174645588,PRJEB10878
ERS848663,0.2035152043987295,-4.790307233167142,1.9812445317103096,-2.717957336342508,-2.6143553989949826,2.180446094446856,1.5618557469581895,0.8074663252476969,0.9775532972099462,-0.1714600170166613,PRJEB10878
ERS848738,2.089150332465216,-0.5346386128124718,2.630117271294336,-4.576674895964604,-2.5421565575736653,3.742235331765832,2.167310186772203,-1.113780376508898,2.045018411656232,-0.6547871811433104,PRJEB10878
ERS848700,-0.747770192920477,-6.047064723263207,3.051208683569137,-4.198013436331194,-2.6788506025236174,4.1831165209273085,1.4689072463948305,2.200497063309229,-0.5734257900800711,-0.920635239851816,PRJEB10878
ERS848630,2.0851975915130736,-1.524479208899478,2.6156373468122824,-4.798847434245598,-3.2030140955447064,1.8685857153941097,2.842224294266888,-0.5298561992795873,1.1019793508728788,0.1846943255076807,PRJEB10878
ERS848705,1.0103678402993046,-4.347802060494548,1.6276506911353756,-3.0273685602840303,-3.916937101866473,1.5788615557858057,1.931252639445336,1.317209519437743,1.036752489364556,0.6456182136566384,PRJEB10878
ERS848646,5.219557141913994,7.110648768359705,3.0299990881708303,1.0574048076969238,-1.088743461701502,4.379611924903229,4.078844367194879,-7.277687551065305,4.419579020525128,-0.1423020020650799,PRJEB10878
ERS848707,3.24552138863005,0.4297272334204312,2.847221792363697,-6.173974243234727,-3.878714566909872,2.322988849207232,1.5476821955918412,-0.6436188953917779,1.3677725834638463,0.1856914544023169,PRJEB10878
ERS848621,2.7752556854946517,3.7849135739113193,1.5263386622495068,-3.1619853597590115,-1.5432415342993602,2.785691115141645,2.926849497089725,-3.143234108943433,1.870599697354853,-0.5269434160290504,PRJEB10878
ERS848649,4.300156073934652,4.190373207423546,1.8277690489424343,-0.6456212426640129,-2.5317551470930453,1.2748433749156498,2.8627109841085003,-2.978423914984562,2.4380932003850284,1.8050509240104493,PRJEB10878
ERS848695,1.9041144895856144,-0.4703818490472565,2.8922352692029447,-5.178367104317388,-1.990057051189533,3.3946411996454224,3.256981007549236,-0.7740969309878625,1.365798939297485,-1.693845283483944,PRJEB10878
ERS848673,3.2083153261920945,1.1084494218713004,2.9784332077756464,-4.334901106562994,-2.957073966111969,1.4040452252061368,2.631778729198388,-1.865168466621168,1.5403005877263332,0.2946917563193894,PRJEB10878
ERS848676,-23.14338429551835,16.296752440111394,3.8652419151691904,-8.96228688107752,5.746174963719772,-12.604509364551424,-5.914930289222603,-0.4886610671918869,-10.704862863280493,0.2594894479065858,PRJEB10878
ERS848667,-7.33965224658642,14.4318064088213,-0.150822508900123,-11.459190107793823,12.140085775550304,-11.043873227184404,-0.7654801580316952,-0.0321652612194196,-3.89720884572184,-1.6491499156452265,PRJEB10878
ERS848737,14.843783100109022,9.51611944105179,-6.540499196938307,-3.0228058228363928,2.277098372919951,-1.2217005630321234,-1.3868281996995149,-5.160018446483616,-5.700252155429975,-14.687904355538222,PRJEB10878
ERS848690,1.3513951779526316,-1.409307009714181,1.4814670516477224,-3.1004921666264518,-2.705483525577164,3.697203410393088,3.038014352169536,-0.133547578701918,1.1178828375443242,-0.3946859588705779,PRJEB10878
ERS848637,-23.644493493947564,15.39944355153668,4.862525549729995,-9.201787235935194,5.0083724637614,-12.947970276816694,-5.451171254983314,0.6576395628627569,-11.61934705938386,0.277167498063237,PRJEB10878
ERS848710,3.5901290862768187,4.6034352583134295,2.596613262512193,-4.249372079503661,-2.314582352783049,3.243641035706501,2.951736769301778,-2.849160244383052,2.046657103853709,-1.2159183541236114,PRJEB10878
ERS848715,2.881815698624371,2.8048782424995347,2.55446975295724,-4.436953856108145,-2.161262661268313,3.454311290920981,3.39191282284082,-3.0538292358302543,2.0229416227355657,-0.7803920176358937,PRJEB10878
ERS848718,0.6992183562288555,-1.874078109535071,1.506837713136419,-3.857570907840527,-4.451745776609031,2.732343328910856,2.28026050791482,0.7251014256201571,1.555251440827078,-0.0553749352238509,PRJEB10878
ERS848724,2.565322066538433,1.6840617255740655,2.193154075208018,-3.268499599733018,-2.6676397615346787,1.829345205246346,3.429362788759909,-1.6051511346913423,1.9581085153902933,-0.2230391605897021,PRJEB10878
